Station ID,Functional Class,Latitude,Longitude,Year,AADT,Statistics type,Single-Unit Truck AADT,Combo-Unit Truck AADT,% Peak SU Trucks,% Peak CU Trucks,K-Factor,D-Factor,Future AADT,Station Type
"001-0101",3U : Urban Principal Arterial - Other,31.715363,-82.381788,2024,4760,Estimated,380,410,11.781,4.384,0.0795,0.55,8250,Short Term
"001-0105",3U : Urban Principal Arterial - Other,31.767430,-82.353490,2024,12900,Actual,586,580,4.522,1.969,0.1064,0.52,23200,Short Term
"001-0107",3U : Urban Principal Arterial - Other,31.773846,-82.350339,2024,14800,Actual,801,666,4.758,3.248,0.0896,0.51,22100,Short Term
"001-0109",3U : Urban Principal Arterial - Other,31.779416,-82.348327,2024,11900,Estimated,878,746,5.278,3.981,0.0914,0.51,15000,Short Term
"001-0112",3U : Urban Principal Arterial - Other,31.786264,-82.350183,2024,9600,Actual,640,373,4.973,2.27,0.0963,0.61,12100,Short Term
"001-0114",3U : Urban Principal Arterial - Other,31.836979,-82.350421,2024,7020,Actual,750,762,12.678,5.413,0.1001,0.54,8850,Short Term
"001-0118",3R : Rural Principal Arterial - Other,31.909228,-82.356139,2024,6160,Estimated,410,681,4.703,8.384,0.0832,0.52,7760,Short Term
"001-0121",4R : Rural Minor Arterial,31.545377,-82.207377,2024,2210,Estimated,,,,,0.0948,0.51,3050,Short Term
"001-0123",4R : Rural Minor Arterial,31.619641,-82.256294,2024,1780,Estimated,201,255,8.075,8.075,0.1188,0.57,2240,Short Term
"001-0125",4U : Urban Minor Arterial,31.681809,-82.302278,2024,2750,Actual,278,352,,,0.1031,0.62,3750,Short Term
"001-0127",4U : Urban Minor Arterial,31.715192,-82.333471,2024,3450,Actual,357,310,6.299,3.937,0.1105,0.7,4350,Short Term
"001-0129",4U : Urban Minor Arterial,31.754227,-82.351713,2024,5170,Estimated,262,257,,,0.0904,0.59,6510,Short Term
"001-0132",4U : Urban Minor Arterial,31.762393,-82.354255,2024,7670,Actual,472,279,4.61,0.975,0.1472,0.52,9660,Short Term
"001-0133",4R : Rural Minor Arterial,31.713413,-82.520596,2024,2030,Estimated,178,359,11.864,10.734,0.0905,0.54,2770,Short Term
"001-0134",4R : Rural Minor Arterial,31.747514,-82.544050,2024,1970,Estimated,182,360,6.711,12.752,0.0792,0.58,3300,Short Term
"001-0136",3R : Rural Principal Arterial - Other,31.834715,-82.509436,2024,6930,Estimated,440,1112,3.922,7.843,0.0916,0.53,11400,Short Term
"001-0138",3U : Urban Principal Arterial - Other,31.811259,-82.442870,2024,7840,Estimated,470,1307,5.797,8.374,0.0822,0.59,11900,Short Term
"001-0141",3U : Urban Principal Arterial - Other,31.780828,-82.355952,2024,15100,Actual,866,1080,4.571,2.632,0.0955,0.54,23000,Short Term
"001-0143",3U : Urban Principal Arterial - Other,31.775727,-82.340071,2024,11100,Actual,679,753,6.748,4.686,0.0961,0.52,14900,Short Term
"001-0145",3U : Urban Principal Arterial - Other,31.745106,-82.253012,2024,5020,Actual,403,1116,6.726,17.04,0.0889,0.53,9030,Short Term
"001-0152",3R : Rural Principal Arterial - Other,31.723267,-82.186845,2024,5590,Estimated,302,1435,3.931,13.022,0.0763,0.54,9030,Short Term
"001-0156",5R : Rural Major Collector,31.591762,-82.272027,2024,1010,Actual,118,118,6.098,3.659,0.0809,0.57,1270,Short Term
"001-0158",5R : Rural Major Collector,31.589297,-82.218167,2024,990,Estimated,59,149,6.024,19.277,0.0873,0.53,1250,Short Term
"001-0161",5R : Rural Major Collector,31.590907,-82.179125,2024,1170,Actual,109,123,7.143,11.224,0.0838,0.53,1540,Short Term
"001-0163",4R : Rural Minor Arterial,31.577552,-82.208539,2024,540,Estimated,59,141,,,0.1108,0.71,680,Short Term
"001-0165",4R : Rural Minor Arterial,31.659808,-82.207844,2024,1280,Estimated,91,268,5.941,22.772,0.0829,0.53,1710,Short Term
"001-0169",4R : Rural Minor Arterial,31.726543,-82.196416,2024,1580,Actual,159,376,9.63,20.741,0.0854,0.57,1990,Short Term
"001-0170",4R : Rural Minor Arterial,31.776909,-82.155205,2024,1270,Estimated,111,262,12.121,16.162,0.0996,0.57,2350,Short Term
"001-0172",4R : Rural Minor Arterial,31.848848,-82.098418,2024,3860,Actual,380,822,12.693,15.789,0.0837,0.53,6790,Short Term
"001-0174",5U : Urban Major Collector,31.784200,-82.345930,2024,3540,Actual,,,,,0.0943,0.59,4560,Short Term
"001-0176",5U : Urban Major Collector,31.788694,-82.328623,2024,3390,Estimated,,,,,0.0835,0.55,6190,Short Term
"001-0178",4R : Rural Minor Arterial,31.795076,-82.280414,2024,3260,Estimated,219,395,5.618,6.742,0.0859,0.51,6220,Short Term
"001-0181",4R : Rural Minor Arterial,31.837396,-82.132140,2024,1990,Estimated,400,227,23.602,4.969,0.084,0.62,2510,Short Term
"001-0183",4R : Rural Minor Arterial,31.831560,-82.086470,2024,1170,Actual,35,163,2.344,9.375,0.1094,0.54,1840,CCS
"001-0185",5R : Rural Major Collector,31.602850,-82.308160,2024,380,Actual,14,22,6,4,0.1312,0.52,480,CCS
"001-0187",5U : Urban Major Collector,31.683151,-82.332266,2024,670,Actual,58,13,3.947,5.263,0.1139,0.67,840,Short Term
"001-0189",5U : Urban Major Collector,31.715164,-82.359191,2024,1180,Estimated,67,34,4.132,0.826,0.1085,0.59,1650,Short Term
"001-0194",5U : Urban Major Collector,31.759517,-82.369744,2024,1990,Actual,70,43,1.17,0.292,0.1717,0.53,2510,Short Term
"001-0196",5U : Urban Major Collector,31.769117,-82.356611,2024,2190,Actual,,,,,0.1161,0.5,5460,Short Term
"001-0198",5R : Rural Major Collector,31.733840,-82.520498,2024,430,Actual,,,,,0.1329,0.64,550,Short Term
"001-0201",5R : Rural Major Collector,31.765595,-82.517033,2024,330,Actual,,,,,0.0942,0.52,420,Short Term
"001-0203",5R : Rural Major Collector,31.820531,-82.507151,2024,560,Estimated,72,25,12.281,1.754,0.1059,0.54,800,Short Term
"001-0205",5R : Rural Major Collector,31.747649,-82.533079,2024,740,Estimated,,,,,0.0945,0.63,1340,Short Term
"001-0207",5R : Rural Major Collector,31.749789,-82.489680,2024,860,Actual,,,,,0.1103,0.61,1080,Short Term
"001-0209",5U : Urban Major Collector,31.770285,-82.419928,2024,1300,Actual,141,34,5.714,0.714,0.1077,0.56,1870,Short Term
"001-0212",5U : Urban Major Collector,31.777539,-82.355672,2024,3850,Estimated,,,,,0.0933,0.54,5200,Short Term
"001-0214",5R : Rural Major Collector,31.867804,-82.400627,2024,690,Actual,,,,,0.1235,0.53,870,Short Term
"001-0216",5R : Rural Major Collector,31.872260,-82.315478,2024,680,Estimated,,,,,0.1207,0.57,880,Short Term
"001-0218",5U : Urban Major Collector,31.810851,-82.308793,2024,1250,Estimated,70,31,,,0.1009,0.71,1580,Short Term
"001-0221",5R : Rural Major Collector,31.879089,-82.189855,2024,650,Estimated,49,23,1.429,4.286,0.1103,0.54,820,Short Term
"001-0223",5R : Rural Major Collector,31.544223,-82.175085,2024,430,Actual,,,,,0.0891,0.54,880,Short Term
"001-0225",5R : Rural Major Collector,31.509902,-82.144589,2024,280,Actual,37,48,9.091,12.121,0.117,0.52,350,Short Term
"001-0229",6R : Rural Minor Collector,31.851476,-82.405537,2024,720,Estimated,,,,,0.1114,0.68,910,Short Term
"001-0232",6R : Rural Minor Collector,31.646052,-82.243373,2024,220,Estimated,,,,,,,330,Short Term
"001-0234",6U : Urban Minor Collector,31.748296,-82.360228,2024,1340,Actual,182,23,15.122,0.488,0.1525,0.6,2320,Short Term
"001-0236",6U : Urban Minor Collector,31.752780,-82.373033,2024,450,Actual,33,12,4.348,1.449,0.1547,0.59,570,Short Term
"001-0238",5U : Urban Major Collector,31.767853,-82.345218,2024,880,Actual,32,2,2.128,0,0.1073,0.53,1110,Short Term
"001-0241",5U : Urban Major Collector,31.750177,-82.347202,2024,880,Actual,,,,,0.114,0.68,1530,Short Term
"001-7001",5R : Rural Major Collector,31.711624,-82.520001,2024,580,Estimated,,,,,0.1153,0.54,800,Short Term
"001-8005",6R : Rural Minor Collector,31.725880,-82.517320,2024,270,Estimated,,,,,0.1236,0.8,370,Short Term
"001-8011",7R : Rural Local,31.697442,-82.368818,2024,160,Estimated,13,4,9.091,0,0.1435,0.59,200,Short Term
"001-8027",6R : Rural Minor Collector,31.803200,-82.156700,2024,80,Estimated,,,,,,,100,Short Term
"001-8031",7R : Rural Local,31.891501,-82.181727,2024,120,Actual,8,5,0,0,0.1157,0.57,210,Short Term
"001-8045",7R : Rural Local,31.800747,-82.490284,2024,230,Actual,10,3,0,0,0.1454,0.55,290,Short Term
"001-8046",6R : Rural Minor Collector,31.725088,-82.502729,2024,350,Actual,19,18,,,0.1181,0.57,440,Short Term
"001-8047",6U : Urban Minor Collector,31.756368,-82.380572,2024,1440,Estimated,106,37,,,0.1045,0.57,1810,Short Term
"001-8048",6R : Rural Minor Collector,31.733697,-82.414303,2024,1120,Estimated,116,62,5.932,4.237,0.1119,0.66,1410,Short Term
"001-8049",6R : Rural Minor Collector,31.720943,-82.457403,2024,650,Actual,68,33,12.329,5.479,0.1127,0.56,820,Short Term
"001-8050",6U : Urban Minor Collector,31.787063,-82.388107,2024,250,Actual,13,4,2.5,0,0.1619,0.55,750,Short Term
"001-8052",6R : Rural Minor Collector,31.672191,-82.314332,2024,70,Estimated,1,3,0,0,0.1987,0.69,90,Short Term
"001-8056",7U : Urban Local,31.754099,-82.318883,2024,60,Actual,2,0,9.091,0,0.1897,0.55,80,Short Term
"001-8060",7R : Rural Local,31.848049,-82.187776,2024,30,Estimated,,,,,,,40,Short Term
"001-8061",7R : Rural Local,31.829456,-82.198826,2024,140,Estimated,5,8,0,0,0.1197,0.63,200,Short Term
"001-8062",7R : Rural Local,31.855636,-82.197006,2024,130,Estimated,12,2,9.091,0,0.1796,0.55,230,Short Term
"001-8063",6R : Rural Minor Collector,31.861420,-82.335041,2024,430,Actual,27,13,12.5,0,0.1124,0.5,770,Short Term
"001-8064",6U : Urban Minor Collector,31.734077,-82.302127,2024,340,Actual,25,5,4.167,0,0.1412,0.63,430,Short Term
"001-8065",6R : Rural Minor Collector,31.704023,-82.277612,2024,390,Estimated,,,,,,,490,Short Term
"001-8066",6R : Rural Minor Collector,31.693335,-82.447194,2024,150,Actual,14,10,4.545,9.091,0.1477,0.77,190,Short Term
"001-8067",6R : Rural Minor Collector,31.838027,-82.326396,2024,880,Actual,49,77,,,0.1091,0.74,1160,Short Term
"001-8068",6R : Rural Minor Collector,31.869364,-82.308040,2024,470,Estimated,15,5,,,0.1029,0.68,650,Short Term
"003-0101",4R : Rural Minor Arterial,31.202334,-82.914020,2024,2280,Actual,162,386,7.109,9.953,0.0925,0.5,3890,Short Term
"003-0105",4R : Rural Minor Arterial,31.255680,-82.870121,2024,2670,Actual,223,472,8.915,12.791,0.0966,0.54,4240,Short Term
"003-0107",3R : Rural Principal Arterial - Other,31.273332,-82.860212,2024,4980,Estimated,293,488,3.68,5.195,0.0963,0.53,9280,Short Term
"003-0109",3R : Rural Principal Arterial - Other,31.295026,-82.853249,2024,5850,Actual,493,529,5.351,1.839,0.1022,0.55,7370,Short Term
"003-0112",3R : Rural Principal Arterial - Other,31.311355,-82.848442,2024,7800,Estimated,466,517,6.743,2.743,0.1163,0.59,12300,Short Term
"003-0114",3R : Rural Principal Arterial - Other,31.356018,-82.841099,2024,6450,Actual,396,613,5.281,5.111,0.091,0.58,9000,Short Term
"003-0118",3R : Rural Principal Arterial - Other,31.349287,-83.073825,2024,4430,Actual,297,1327,5.638,21.365,0.0761,0.52,5690,Short Term
"003-0121",3R : Rural Principal Arterial - Other,31.341395,-83.048900,2024,5330,Actual,366,1070,5.817,10.738,0.0838,0.62,6720,Short Term
"003-0123",3R : Rural Principal Arterial - Other,31.339228,-83.041642,2024,8000,Actual,584,1191,7.04,9.28,0.0782,0.65,12000,Short Term
"003-0125",3R : Rural Principal Arterial - Other,31.320774,-82.977653,2024,4500,Estimated,369,1176,4.737,17.632,0.0886,0.57,5670,Short Term
"003-0132",3R : Rural Principal Arterial - Other,31.307110,-82.901540,2024,4850,Actual,204,901,5.088,17.221,0.1055,0.5,6110,CCS
"003-0134",3R : Rural Principal Arterial - Other,31.299577,-82.862391,2024,5680,Estimated,480,1058,7.646,10.06,0.0908,0.55,8160,Short Term
"003-0136",3R : Rural Principal Arterial - Other,31.297190,-82.847907,2024,5490,Estimated,422,1055,7.627,18.079,0.0676,0.51,7970,Short Term
"003-0138",3R : Rural Principal Arterial - Other,31.295450,-82.837710,2024,4570,Actual,274,960,5.263,16.667,0.0997,0.52,5760,CCS
"003-0141",3R : Rural Principal Arterial - Other,31.281753,-82.763241,2024,4490,Estimated,311,1200,4.696,18.785,0.0836,0.58,6190,Short Term
"003-0143",3R : Rural Principal Arterial - Other,31.272662,-82.708114,2024,4330,Estimated,289,1056,4.905,13.624,0.0888,0.53,5460,Short Term
"003-0145",5R : Rural Major Collector,31.201093,-82.928882,2024,170,Actual,19,25,11.111,11.111,0.1552,0.63,290,Short Term
"003-0147",5R : Rural Major Collector,31.303669,-82.842495,2024,1060,Actual,76,82,7.843,0.98,0.0959,0.59,1340,Short Term
"003-0152",5R : Rural Major Collector,31.348075,-82.765025,2024,970,Estimated,69,60,8.163,5.102,0.1194,0.62,1690,Short Term
"003-0154",3R : Rural Principal Arterial - Other,31.240779,-82.858338,2024,1440,Actual,144,168,3.521,9.155,0.0983,0.62,2090,Short Term
"003-0158",5R : Rural Major Collector,31.343127,-83.047374,2024,990,Actual,92,98,2.804,1.869,0.1082,0.62,1570,Short Term
"003-0161",5R : Rural Major Collector,31.361063,-83.064522,2024,600,Estimated,59,83,4.412,4.412,0.1184,0.72,830,Short Term
"003-0165",4R : Rural Minor Arterial,31.312787,-83.046642,2024,2340,Estimated,161,403,8.466,8.466,0.0962,0.53,3690,Short Term
"003-0167",4R : Rural Minor Arterial,31.338330,-83.047723,2024,3440,Actual,265,413,6.164,6.849,0.085,0.51,4640,Short Term
"003-0169",4R : Rural Minor Arterial,31.341867,-83.029521,2024,2360,Estimated,214,301,8.13,5.691,0.0939,0.54,3330,Short Term
"003-0176",5R : Rural Major Collector,31.356321,-83.050827,2024,470,Estimated,,,,,0.1111,0.63,590,Short Term
"003-0181",5R : Rural Major Collector,31.302398,-82.853356,2024,1470,Estimated,,,,,0.1602,0.56,2430,Short Term
"003-0183",5R : Rural Major Collector,31.356508,-82.883646,2024,650,Actual,,,,,0.0947,0.56,1420,Short Term
"003-0189",5R : Rural Major Collector,31.362960,-82.709200,2024,340,Estimated,30,23,9.524,7.143,0.1176,0.64,540,Short Term
"003-0194",5R : Rural Major Collector,31.315896,-82.691625,2024,270,Actual,26,8,9.091,0,0.1245,0.7,430,Short Term
"003-0196",5R : Rural Major Collector,31.266105,-82.729112,2024,210,Actual,13,8,10.345,0,0.1408,0.52,270,Short Term
"003-0198",7R : Rural Local,31.276056,-82.734379,2024,300,Actual,23,7,12.5,3.125,0.1074,0.56,440,Short Term
"003-0201",5R : Rural Major Collector,31.283739,-82.735433,2024,480,Actual,25,15,3.509,1.754,0.119,0.67,650,Short Term
"003-0203",6R : Rural Minor Collector,31.231020,-82.788915,2024,260,Actual,,,,,0.1013,0.54,330,Short Term
"003-0205",6R : Rural Minor Collector,31.296027,-82.849538,2024,1770,Actual,120,46,9.697,1.212,0.0934,0.61,2740,Short Term
"003-0207",6R : Rural Minor Collector,31.294422,-82.858059,2024,490,Estimated,,,,,0.1074,0.64,730,Short Term
"003-8011",7R : Rural Local,31.365866,-82.993574,2024,120,Actual,11,4,35.714,7.143,0.1148,0.57,150,Short Term
"003-8019",7R : Rural Local,31.305586,-82.848900,2024,860,Actual,,,,,0.1106,0.62,1080,Short Term
"003-8020",7R : Rural Local,31.261191,-82.843619,2024,240,Actual,40,9,,,0.145,0.51,300,Short Term
"003-8021",6R : Rural Minor Collector,31.311774,-83.031702,2024,190,Estimated,,,,,,,270,Short Term
"003-8022",7R : Rural Local,31.346860,-82.983861,2024,160,Actual,10,5,,,0.1454,0.68,260,Short Term
"003-8023",6R : Rural Minor Collector,31.343707,-82.947219,2024,140,Estimated,,,,,,,190,Short Term
"003-8024",6R : Rural Minor Collector,31.362198,-82.943670,2024,280,Actual,32,3,7.143,0,0.0986,0.61,350,Short Term
"003-8025",6R : Rural Minor Collector,31.391741,-82.932916,2024,370,Actual,26,9,,,0.1148,0.58,840,Short Term
"003-8026",7R : Rural Local,31.343800,-83.038678,2024,600,Actual,,,,,0.1188,0.55,770,Short Term
"003-8027",7R : Rural Local,31.380193,-83.040235,2024,410,Actual,,,,,0.1226,0.55,520,Short Term
"003-8028",7R : Rural Local,31.263540,-82.780405,2024,250,Actual,,,,,0.1115,0.5,320,Short Term
"003-8029",7R : Rural Local,31.364461,-82.864595,2024,50,Actual,0,2,,,0.1833,0.56,150,Short Term
"003-8030",7R : Rural Local,31.256839,-82.801681,2024,30,Actual,,,,,0.323,0.5,50,Short Term
"003-8031",7R : Rural Local,31.234465,-82.967220,2024,90,Actual,18,,,,0.1473,0.71,170,Short Term
"003-8034",7R : Rural Local,31.347391,-82.732209,2024,90,Estimated,6,0,,,0.1342,0.8,200,Short Term
"003-8035",7R : Rural Local,31.393085,-82.865659,2024,90,Actual,12,2,5.263,5.263,0.2065,0.74,110,Short Term
"003-8036",6R : Rural Minor Collector,31.335748,-82.830526,2024,520,Estimated,36,14,,,0.1213,0.75,1090,Short Term
"003-8037",7R : Rural Local,31.318325,-82.908633,2024,340,Actual,27,28,2.326,9.302,0.1284,0.56,450,Short Term
"003-8038",7R : Rural Local,31.341865,-82.909325,2024,290,Estimated,,,,,,,390,Short Term
"003-8039",7R : Rural Local,31.362782,-82.897576,2024,260,Estimated,32,3,,,0.1118,0.8,410,Short Term
"005-0101",3R : Rural Principal Arterial - Other,31.444518,-82.433743,2024,4570,Actual,343,651,4.489,8.479,0.0878,0.51,5790,Short Term
"005-0105",3R : Rural Principal Arterial - Other,31.483352,-82.452706,2024,5500,Estimated,446,670,6.31,8.413,0.0969,0.5,6930,Short Term
"005-0109",3R : Rural Principal Arterial - Other,31.524590,-82.462730,2024,6910,Actual,498,649,5.584,5.753,0.0855,0.5,10400,Short Term
"005-0112",3R : Rural Principal Arterial - Other,31.536617,-82.463274,2024,10000,Estimated,921,516,9.222,3.114,0.0847,0.52,17900,Short Term
"005-0114",3R : Rural Principal Arterial - Other,31.540948,-82.462379,2024,10100,Actual,599,731,7.24,4.092,0.0942,0.5,12700,Short Term
"005-0116",3R : Rural Principal Arterial - Other,31.544415,-82.461681,2024,8010,Actual,503,791,6.294,6.294,0.1071,0.55,11100,Short Term
"005-0118",3R : Rural Principal Arterial - Other,31.553019,-82.465263,2024,6860,Actual,456,815,7.095,7.898,0.1088,0.51,9500,Short Term
"005-0120",3R : Rural Principal Arterial - Other,31.559585,-82.467021,2024,6870,Actual,465,779,11.199,9.779,0.0922,0.54,9960,Short Term
"005-0123",3R : Rural Principal Arterial - Other,31.578576,-82.461771,2024,6690,Actual,503,810,5.7,7.98,0.0918,0.62,9960,Short Term
"005-0125",3R : Rural Principal Arterial - Other,31.608610,-82.461860,2024,5730,Actual,292,795,2.792,12.565,0.1,0.54,7720,CCS
"005-0127",4R : Rural Minor Arterial,31.641151,-82.469024,2024,2260,Actual,158,334,7.623,6.726,0.0985,0.57,2930,Short Term
"005-0129",4R : Rural Minor Arterial,31.689483,-82.504138,2024,1840,Actual,149,360,9.239,10.87,0.1002,0.59,2320,Short Term
"005-0134",5R : Rural Major Collector,31.489974,-82.547536,2024,360,Actual,32,3,4.545,0,0.1239,0.66,450,Short Term
"005-0136",5R : Rural Major Collector,31.518627,-82.491043,2024,1240,Actual,71,15,,,0.1016,0.73,1560,Short Term
"005-0138",5R : Rural Major Collector,31.538201,-82.469453,2024,1510,Actual,,,,,0.0948,0.54,1900,Short Term
"005-0141",5R : Rural Major Collector,31.541280,-82.468858,2024,1810,Estimated,97,14,5.051,0,0.112,0.56,2280,Short Term
"005-0143",4R : Rural Minor Arterial,31.541002,-82.564691,2024,4850,Actual,336,615,6.921,5.251,0.0863,0.52,6210,Short Term
"005-0145",4R : Rural Minor Arterial,31.544371,-82.524194,2024,6530,Actual,559,522,8.267,4.293,0.0963,0.56,9540,Short Term
"005-0147",4R : Rural Minor Arterial,31.543063,-82.480784,2024,8490,Actual,768,586,10.125,4.375,0.0942,0.6,11400,Short Term
"005-0149",5R : Rural Major Collector,31.541479,-82.463410,2024,2390,Actual,117,17,4.478,0.746,0.1123,0.59,3300,Short Term
"005-0152",4R : Rural Minor Arterial,31.540735,-82.473126,2024,6580,Actual,501,566,8.551,5.061,0.0871,0.55,8290,Short Term
"005-0154",4R : Rural Minor Arterial,31.539545,-82.464845,2024,5510,Actual,414,531,6.652,7.94,0.0846,0.54,6940,Short Term
"005-0156",4R : Rural Minor Arterial,31.539861,-82.443723,2024,6770,Actual,517,445,4.288,3.063,0.0965,0.53,8530,Short Term
"005-0158",4R : Rural Minor Arterial,31.544896,-82.417886,2024,5300,Actual,514,504,12.109,9.375,0.0966,0.65,6680,Short Term
"005-0161",4R : Rural Minor Arterial,31.544512,-82.383247,2024,3700,Actual,356,505,7.602,7.018,0.0924,0.54,6180,Short Term
"005-0163",4R : Rural Minor Arterial,31.525785,-82.357612,2024,1300,Actual,106,262,12.5,17.308,0.0801,0.54,1640,Short Term
"005-0167",4R : Rural Minor Arterial,31.499650,-82.304584,2024,1450,Estimated,102,320,9.244,7.563,0.0862,0.56,2510,Short Term
"005-0169",5R : Rural Major Collector,31.560817,-82.536626,2024,840,Estimated,,,,,0.1161,0.68,1380,Short Term
"005-0175",5R : Rural Major Collector,31.623116,-82.565189,2024,360,Actual,55,15,7.317,0,0.1145,0.51,450,Short Term
"005-0179",5R : Rural Major Collector,31.547233,-82.463785,2024,830,Actual,,,,,0.1024,0.55,1050,Short Term
"005-0182",5R : Rural Major Collector,31.547298,-82.475520,2024,1160,Estimated,,,,,0.1089,0.72,1460,Short Term
"005-0184",5R : Rural Major Collector,31.574704,-82.506075,2024,1470,Actual,,,,,0.1009,0.73,1850,Short Term
"005-0188",5R : Rural Major Collector,31.602671,-82.533078,2024,520,Actual,51,8,8.219,0,0.1399,0.63,660,Short Term
"005-0192",5R : Rural Major Collector,31.613510,-82.518810,2024,700,Actual,79,23,9.524,2.381,0.1202,0.63,940,Short Term
"005-0195",5R : Rural Major Collector,31.630655,-82.522506,2024,370,Estimated,,,,,0.1255,0.67,810,Short Term
"005-0200",5R : Rural Major Collector,31.707598,-82.520452,2024,700,Actual,,,,,0.0993,0.64,880,Short Term
"005-0202",3R : Rural Principal Arterial - Other,31.637173,-82.451838,2024,4330,Actual,312,548,5,10.263,0.0877,0.52,5460,Short Term
"005-0204",3R : Rural Principal Arterial - Other,31.645998,-82.444404,2024,3940,Actual,288,484,5.556,6.389,0.0914,0.53,7060,Short Term
"005-0206",5R : Rural Major Collector,31.542581,-82.438290,2024,960,Actual,,,,,0.1068,0.58,1210,Short Term
"005-0208",5R : Rural Major Collector,31.557280,-82.441242,2024,780,Estimated,,,,,0.1228,0.74,990,Short Term
"005-0210",5R : Rural Major Collector,31.573428,-82.423412,2024,520,Actual,,,,,0.1294,0.67,850,Short Term
"005-0213",5R : Rural Major Collector,31.601221,-82.393127,2024,680,Actual,,,,,0.1205,0.56,860,Short Term
"005-0215",5R : Rural Major Collector,31.620664,-82.374815,2024,440,Actual,19,15,,,0.1283,0.57,550,Short Term
"005-0217",5R : Rural Major Collector,31.543534,-82.343268,2024,390,Actual,20,9,4.255,2.128,0.1211,0.79,490,Short Term
"005-0219",5R : Rural Major Collector,31.536271,-82.278400,2024,330,Estimated,,,,,0.1268,0.57,420,Short Term
"005-0221",6R : Rural Minor Collector,31.497951,-82.366933,2024,130,Estimated,10,3,10.526,0,0.1559,0.53,160,Short Term
"005-0223",6R : Rural Minor Collector,31.534300,-82.413900,2024,720,Actual,,,,,0.1035,0.69,910,Short Term
"005-0226",5R : Rural Major Collector,31.482336,-82.354995,2024,800,Actual,79,73,,,0.1161,0.55,1040,Short Term
"005-0228",5R : Rural Major Collector,31.495022,-82.363130,2024,860,Estimated,80,88,9.434,5.66,0.1259,0.53,1240,Short Term
"005-0230",5R : Rural Major Collector,31.522556,-82.367623,2024,750,Estimated,77,72,12.162,4.054,0.1017,0.65,1060,Short Term
"005-0231",5R : Rural Major Collector,31.565235,-82.339173,2024,1230,Estimated,90,107,7.368,5.263,0.1077,0.65,1550,Short Term
"005-0234",5R : Rural Major Collector,31.446368,-82.376793,2024,500,Estimated,,,,,0.1041,0.52,730,Short Term
"005-0236",5R : Rural Major Collector,31.483485,-82.421448,2024,610,Actual,58,19,9.677,3.226,0.1025,0.52,770,Short Term
"005-0240",5R : Rural Major Collector,31.519791,-82.444542,2024,950,Actual,,,,,0.0988,0.72,1200,Short Term
"005-0243",5R : Rural Major Collector,31.530948,-82.459261,2024,2230,Actual,,,,,0.1645,0.53,3550,Short Term
"005-0245",5R : Rural Major Collector,31.538943,-82.468388,2024,3890,Estimated,292,147,7.216,3.093,0.1022,0.54,4900,Short Term
"005-0247",5R : Rural Major Collector,31.436147,-82.420546,2024,360,Estimated,,,,,0.127,0.66,590,Short Term
"005-0249",5R : Rural Major Collector,31.471673,-82.372316,2024,330,Actual,38,18,6,4,0.1497,0.7,620,Short Term
"005-0251",5R : Rural Major Collector,31.545872,-82.468714,2024,1550,Estimated,104,27,4.242,1.212,0.1092,0.53,1950,Short Term
"005-0253",5R : Rural Major Collector,31.552375,-82.467050,2024,1020,Estimated,84,28,6.957,2.609,0.1099,0.63,1290,Short Term
"005-0255",5R : Rural Major Collector,31.484209,-82.560417,2024,300,Actual,21,3,5.405,0,0.125,0.68,440,Short Term
"005-0257",5R : Rural Major Collector,31.499344,-82.316045,2024,230,Actual,,,,,0.1268,0.58,290,Short Term
"005-8003",7R : Rural Local,31.526000,-82.282100,2024,40,Estimated,,,,,,,50,Short Term
"005-8009",7R : Rural Local,31.574415,-82.607876,2024,260,Estimated,,,,,0.1166,0.8,330,Short Term
"005-8015",7R : Rural Local,31.561693,-82.502365,2024,410,Estimated,,,,,0.1237,0.57,750,Short Term
"005-8023",7R : Rural Local,31.545514,-82.476522,2024,120,Estimated,,,,,0.1528,0.63,150,Short Term
"005-8026",6R : Rural Minor Collector,31.460832,-82.454930,2024,390,Estimated,15,13,,,0.1003,0.53,490,Short Term
"005-8027",6R : Rural Minor Collector,31.464608,-82.447898,2024,600,Actual,39,81,,,0.1108,0.59,760,Short Term
"005-8028",6R : Rural Minor Collector,31.474893,-82.498760,2024,240,Actual,18,5,14.706,2.941,0.1441,0.56,300,Short Term
"005-8029",6R : Rural Minor Collector,31.493745,-82.499626,2024,370,Actual,29,24,,,0.128,0.56,520,Short Term
"005-8030",6R : Rural Minor Collector,31.607488,-82.573597,2024,240,Actual,21,5,3.448,3.448,0.1203,0.52,500,Short Term
"005-8032",7R : Rural Local,31.633431,-82.592481,2024,20,Actual,2,0,0,0,0.2381,0.6,30,Short Term
"005-8034",6R : Rural Minor Collector,31.672800,-82.465400,2024,110,Actual,12,5,0,0,0.1296,0.57,140,Short Term
"005-8035",6R : Rural Minor Collector,31.532850,-82.286590,2024,170,Actual,26,16,13.889,11.111,0.2081,0.81,230,Short Term
"005-8036",7R : Rural Local,31.551536,-82.477316,2024,1630,Estimated,76,32,,,0.1397,0.52,2050,Short Term
"007-0101",4R : Rural Minor Arterial,31.135950,-84.519157,2024,1000,Estimated,111,106,,,0.0947,0.65,1440,Short Term
"007-0105",5R : Rural Major Collector,31.241009,-84.526824,2024,100,Actual,13,10,11.765,11.765,0.1667,0.76,130,Short Term
